gene_id	gene_type	MSC5_1_0d_CGATGT.counts	MSC5_2_0d_AGTCAA.counts	MSC5_1_1d_TGACCA.counts	MSC5_2_1d_AGTTCC.counts	MSC5_1_3d_ACAGTG.counts	MSC5_2_3d_ATGTCA.counts	MSC5_1_7d_AGTCAA.counts	MSC5_2_7d_GTCCGC.counts	MSC5_1_14d_AGTTCC.counts	MSC5_2_14d_GTGAAA.counts	MSC6_1_0d_GCCAAT.counts	MSC6_2_0d_CCGTCC.counts	MSC6_1_1d_CAGATC.counts	MSC6_2_1d_GTCCGC.counts	MSC6_1_3d_CTTGTA.counts	MSC6_2_3d_GTGAAA.counts	MSC6_1_7d_ATGTCA.counts	MSC6_2_7d_CGATGT.counts	MSC6_1_14d_CCGTCC.counts	MSC6_2_14d_TGACCA.counts	gene_type.y
ENSG00000178977.4	  lncRNA	98	154	11	14	47	81	1079	859	100	81	134	144	22	64	75	151	264	329	59	218	lncRNA
ENSG00000224481.4	  lncRNA	1	1	4	3	1	7	5	5	9	9	1	2	5	20	4	6	12	3	11	64	lncRNA
ENSG00000224843.8	  lncRNA	14	21	14	10	13	10	27	29	54	14	24	16	37	78	12	19	56	29	32	221	lncRNA
ENSG00000225173.2	  lncRNA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	lncRNA
ENSG00000225595.2	  lncRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	lncRNA
ENSG00000226067.7	  lncRNA	9	3	7	19	13	13	12	13	6	10	53	52	51	62	40	48	51	74	74	109	lncRNA
ENSG00000228549.5	  lncRNA	120	91	12	17	544	721	971	850	25	15	53	69	37	63	749	960	734	1006	44	95	lncRNA
ENSG00000230530.2	  lncRNA	28	55	33	54	56	106	232	234	47	23	68	42	27	61	64	99	79	115	66	152	lncRNA
ENSG00000233396.9	  lncRNA	11	19	46	45	17	46	33	23	44	45	19	35	39	59	16	22	35	34	43	81	lncRNA
ENSG00000233421.5	  lncRNA	170	118	12	20	683	774	1069	947	34	24	102	97	110	112	1004	1350	1019	1395	56	80	lncRNA
ENSG00000236469.1	  lncRNA	0	0	0	0	0	0	1	1	4	3	0	0	0	6	1	0	2	0	4	27	lncRNA
ENSG00000242759.9	  lncRNA	79	84	263	356	201	279	93	81	116	98	20	43	90	248	41	48	106	40	138	577	lncRNA
ENSG00000246350.1	  lncRNA	0	0	0	0	0	0	0	0	0	0	0	0	1	9	1	0	3	0	1	12	lncRNA
ENSG00000248473.2	  lncRNA	12	31	4	2	375	476	1315	1105	81	16	20	18	33	98	620	910	696	958	52	258	lncRNA
ENSG00000253190.4	  lncRNA	151	466	10	8	280	276	350	327	51	34	411	248	19	90	155	229	274	228	48	200	lncRNA
ENSG00000255008.5	  lncRNA	132	95	14	13	329	378	609	476	68	30	78	94	41	82	236	387	244	329	45	202	lncRNA
ENSG00000255468.7	  lncRNA	33	42	47	38	93	133	386	438	21	19	23	47	32	35	77	135	157	193	19	56	lncRNA
ENSG00000257285.7	  lncRNA	16	22	8	20	17	24	51	28	45	31	21	18	33	54	21	20	57	59	68	152	lncRNA
ENSG00000258603.5	  lncRNA	0	1	1	1	1	3	2	1	9	5	1	3	5	11	2	5	6	1	7	36	lncRNA
ENSG00000259932.1	  lncRNA	483	1004	6	7	11	24	28	33	14	31	1096	345	9	21	7	40	58	74	60	60	lncRNA
ENSG00000260035.1	  lncRNA	122	153	3	1	9	12	162	114	26	10	121	62	6	16	18	35	37	30	24	48	lncRNA
ENSG00000260464.1	  lncRNA	7	14	4	5	11	20	32	29	30	11	8	3	34	51	13	26	38	26	30	126	lncRNA
ENSG00000261441.1	  lncRNA	47	34	3	2	306	407	2078	1817	77	25	44	41	18	48	652	1010	599	969	16	64	lncRNA
ENSG00000261584.1	  lncRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	lncRNA
ENSG00000261889.1	  lncRNA	181	183	18	22	700	849	1366	1101	35	38	142	155	107	118	618	908	562	703	41	81	lncRNA
ENSG00000262521.1	  lncRNA	1	1	0	0	0	0	4	2	3	0	0	1	2	14	1	3	2	3	4	31	lncRNA
ENSG00000262668.2	  lncRNA	6	5	6	5	4	4	9	12	13	1	10	4	8	29	3	7	21	13	13	61	lncRNA
ENSG00000267787.7	  lncRNA	60	50	110	177	124	178	67	63	64	35	35	52	131	168	111	152	129	166	90	215	lncRNA
ENSG00000272541.1	  lncRNA	0	0	0	0	2	0	2	1	1	1	1	0	1	5	0	0	2	1	1	15	lncRNA
ENSG00000273112.1	  lncRNA	0	0	0	1	0	2	3	3	3	0	0	0	6	12	5	6	4	4	4	25	lncRNA
ENSG00000274020.4	  lncRNA	56	45	111	127	75	144	77	65	137	151	63	106	125	166	46	57	56	72	120	266	lncRNA
ENSG00000280434.1	  lncRNA	14	39	90	106	87	131	46	72	110	59	12	29	191	185	66	70	101	132	136	418	lncRNA
ENSG00000283317.1	  lncRNA	0	0	0	0	0	0	5	1	3	1	0	0	1	4	0	3	7	1	5	24	lncRNA
ENSG00000283360.1	  lncRNA	4	3	0	1	1	2	9	8	13	3	2	4	10	25	3	4	5	12	12	53	lncRNA
ENSG00000283696.1	  lncRNA	39	36	2	3	35	29	221	195	17	10	33	21	13	29	34	65	71	100	17	63	lncRNA
